companyname,companywebsite,companyemaildomain,linkedincompanypageurl,stocksymbol,industry,city,state,companycountry,zipcode
22D Music Group,22dmusic.com,,https://www.linkedin.com/company/22d-music-group/,,,,,,
ALIBI Music,alibimusic.com,,,,,,,,
Anthem Entertainment,anthem.music,,https://www.linkedin.com/company/anthementertainmentgroup/,,,,,,
Audio Network,audionetwork.com,,https://www.linkedin.com/company/536154/,,,,,,
BAM Music,bammusic.com,,,,,,,,
BMG Production Music,bmgproductionmusic.com,,,,,,,,
Cavendish Music,cavendishmusic.com,,,,,,,,
Cinq Music Group,cinqmusic.com,,https://www.linkedin.com/company/cinq-music/,,,,,,
Cutting Edge Group,cuttingedgegroup.com,,https://www.linkedin.com/company/cutting-edge-media-music/,,,,,,
Epidemic Sound,epidemicsound.com,,https://www.linkedin.com/company/epidemic-sound/,,,,,,
Extreme Music,extrememusic.com,,,,,,,,
Iconic Artists Group,iconicartistsgroup.com,,,,,,,,
Nippon Television Music,ntvm.co.jp,,,,,,,,
One Media iP Group,omip.co.uk,,,,,,,,
Phoenix Music International,phoenixmusicinternational.com,,,,,,,,
Position Music,positionmusic.com,,,,,,,,
Primary Wave,primarywave.com,,,,,,,,
Reservoir Media,reservoir-media.com,,,,,,,,
Seeker Music,seekermusic.com,,https://www.linkedin.com/company/seeker-music/,,,,,,
Silva Screen Music Group,silvascreen.com,,,,,,,,
Sonoton,sonoton.com,,https://www.linkedin.com/company/sonoton/,,,,,,
Spirit Music Group,spirit.music,,https://www.linkedin.com/company/spirit-music/,,,,,,
The Royalty Network,roynet.com,,https://www.linkedin.com/company/3487220/,,,,,,
Universal Production Music,universalproductionmusic.com,,https://www.linkedin.com/company/universal-production-music/,,,,,,
Vanacore Music,vanacoremusic.com,,https://www.linkedin.com/company/vanacore-music/,,,,,,
Warner Chappell Production Music,warnerchappellpm.com,,https://www.linkedin.com/company/2655442/,,,,,,
West One Music Group,westonemusic.com,,https://www.linkedin.com/company/west-one-music-group/,,,,,,
!K7 Music,k7.com,,https://www.linkedin.com/company/k7-music/,,,,,,
ABKCO Music & Records,abkco.com,,,,,,,,
Aditya Music,adityamusic.com,,,,,,,,
Alter K,alter-k.com,,https://www.linkedin.com/company/alterkglobalmusicservices/,,,,,,
Amuse Inc.,amuse.co.jp,,,,,,,,
Angry Mob Music,angrymobmusic.com,,https://www.linkedin.com/company/angry-mob-music/,,,,,,
Armada Music,armadamusic.com,,https://www.linkedin.com/company/armadamusic/,,,,,,
Avex,avex.com,,,,,,,,
Because Group,becausegroup.tv,,,,,,,,
Beggars Group,beggars.com,,,,,,,,
Beggars Music,beggarsmusic.com,,,,,,,,
Better Noise Music,betternoise.com,,https://www.linkedin.com/company/eleven-seven-music-group/,,,,,,
Big Yellow Dog Music,bigyellowdogmusic.com,,,,,,,,
Bigpop,bigpopstudios.com,,https://www.linkedin.com/company/bigpop-studios/,,,,,,
Biscoito Fino,biscoitofino.com.br,,,,,,,,
Black River Entertainment,blackriverent.com,,,,,,,,
BMG,bmg.com,,https://www.linkedin.com/company/bmg-the-new-music-company/,,,,,,
Broma16,broma16.com,,,,,,,,
Bucks Music Group,bucksmusicgroup.com,,,,,,,,
Budde Music,buddemusic.co.uk,,,,,,,,
CCS Rights Management,ccsrightsmanagement.com,,https://www.linkedin.com/company/ccs-rights-management/,,,,,,
Cherry Red Records,cherryred.co.uk,,https://www.linkedin.com/company/cherry-red-records/,,,,,,
Chocolate City Music,chocolatecitymusic.com,,,,,,,,
Clouds Hill,cloudshill.com,,https://www.linkedin.com/company/clouds-hill-gmbh-&-co-kg/,,,,,,
Cooking Vinyl,cookingvinyl.com,,,,,,,,
Cosmos Music,cosmos-music.com,,,,,,,,
Create Music Group,createmusicgroup.com,,https://www.linkedin.com/company/createmusicgroup/,,,,,,
CYMBA Music Publishing,cymbamusic.com,,,,,,,,
District 6 Music,d6music.com,,https://www.linkedin.com/company/d6music/,,,,,,
Domino Publishing,dominopublishingco.com,,,,,,,,
Downtown Music,downtownmusic.com,,https://www.linkedin.com/company/downtownmusic/,,,,,,
Downtown Music Publishing Africa,downtownmusic.africa,,https://www.linkedin.com/company/downtownmusicafrica/,,,,,,
Edel,edel.com,,,,,,,,
Edimúsica,edimusica.com,,,,,,,,
Edizioni Curci,edizionicurci.it,,,,,,,,
EMPIRE,empi.re,,,,,,,,
Faber Music,fabermusic.com,,,,,,,,
Fairwood Music,fairwoodmusic.com,,,,,,,,
Freibank Music Publishing,freibank.com,,,,,,,,
Fujipacific Music,fujipacific.co.jp,,,,,,,,
Futures Music Group,futures.music,,,,,,,,
Gaga Music,gaga.com.au,,,,,,,,
Gresham Music Group,greshammusicgroup.com,,https://www.linkedin.com/company/gresham-music-group/,,,,,,
Guesstimate,guesstimate.de,,,,,,,,
Hopeless Records,hopelessrecords.com,,,,,,,,
Involved Publishing,involvedpublishing.com,,,,,,,,
Irmãos Vitale,vitale.com.br,,https://www.linkedin.com/company/editora-irmaos-vitale/,,,,,,
JYP Entertainment,jype.com,,,,,,,,
JYP Publishing,jyppub.com,,,,,,,,
Kassner Music,kassnermusic.com,,https://www.linkedin.com/company/kassner-associated-publishers-limited/,,,,,,
Kobalt Music,kobaltmusic.com,,,,,,,,
KREATION Music Rights,kreation.co.kr,,https://www.linkedin.com/company/kreation-music-rights/,,,,,,
LEEWAY,leeway.kr,,,,,,,,
Mavin Records,mavinrecords.com,,,,,,,,
Monstercat,monstercat.com,,,,,,,,
MPL Communications,mplcommunications.com,,,,,,,,
Mushroom Music,mushroommusic.com,,,,,,,,
Music Asset Management,musicassetmgt.com,,,,,,,,
Mute Song,mutesong.com,,,,,,,,
Música Global,musicaglobal.com,,https://www.linkedin.com/company/musica-global/,,,,,,
Nettwerk Music Group,nettwerk.com,,,,,,,,
Nichion,nichion.co.jp,,,,,,,,
Nordic Music Partners,nordicmusicpartners.com,,,,,,,,
ONErpm,onerpm.com,,,,,,,,
Origin Entertainment,originmusic.com.au,,,,,,,,
peermusic,peermusic.com,,https://www.linkedin.com/company/peermusic,,,,,,
PEN Music Group,penmusic.com,,https://www.linkedin.com/company/pen-music-group-inc-/,,,,,,
Playground Music Scandinavia,playgroundmusic.com,,,,,,,,
Pony Canyon Music Publishing,pcmp.jp,,,,,,,,
PopArabia,poparabia.com,,https://www.linkedin.com/company/poparabiamusic/,,,,,,
Pragita Prabawa Pustaka,pragitamusic.co.id,,https://www.linkedin.com/company/pragita-group/,,,,,,
Prescription Songs,prescriptionsongs.com,,,,,,,,
PULSE Music Group,pulserecordings.com,,,,,,,,
Raleigh Music Group,raleighmusicgroup.com,,https://www.linkedin.com/company/raleigh-music-group/,,,,,,
Reach Music Publishing,reachmusic.com,,https://www.linkedin.com/company/reach-music-publishing,,,,,,
Red Brick Songs,redbricksongs.com,,,,,,,,
Rimas Publishing,rimaspublishing.com,,,,,,,,
ROBA Music Publishing,roba.com,,https://www.linkedin.com/company/roba-music-publishing/,,,,,,
Saregama India,saregama.com,,,,,,,,
Schubert Music Publishing,schubertmusic.com,,https://www.linkedin.com/company/schubert-music-publishing/,,,,,,
Secret Road,secretroad.com,,,,,,,,
Secretly Group,secretlygroup.com,,https://www.linkedin.com/company/secretly-group-label,,,,,,
Sentient Music,sentientmusic.com,,,,,,,,
Sentric,sentric.com,,https://www.linkedin.com/company/sentric-music/,,,,,,
SM Entertainment,smentertainment.com,,,,,,,,
Sony Music Entertainment,sonymusic.com,,,,,,,,
Sony Music Publishing,sonymusicpub.com,,https://www.linkedin.com/company/sonymusicpub,,,,,,
Strictly Confidential,strictly-confidential.net,,https://www.linkedin.com/company/strictly-confidential-music-publishing/,,,,,,
Sub Pop Records,subpop.com,,,,,,,,
Sugar Music,sugarmusic.com,,,,,,,,
T-Series,tseries.com,,,,,,,,
Third Side Music,thirdsidemusic.com,,,,,,,,
Times Music,timesmusic.com,,,,,,,,
Tips Music,tips.in,,,,,,,,
TRO Essex Music Group,troessexmusic.com,,,,,,,,
Universal Music Group,universalmusic.com,,,,,,,,
Universal Music Publishing Group,umusicpub.com,,https://www.linkedin.com/company/universal-music-publishing-group/,,,,,,
Victor Music Arts,victormusicarts.jp,,,,,,,,
Warner Chappell Music,warnerchappell.com,,,,,,,,
Warner Music Group,wmg.com,,,,,,,,
Warp Publishing,warppublishing.net,,,,,,,,
Watanabe Music Publishing,watanabe-music.co.jp,,,,,,,,
Wise Music Group,wisemusic.com,,,,,,,,
Wixen Music Publishing,wixenmusic.com,,,,,,,,
Yamaha Music Entertainment Holdings,yamaha-meh.co.jp,,,,,,,,
Gallo Music Group,gallo.africa,,,,,,,,
4 Elements Music,4elementsmusic.com,,,,,,,,
Intervox Production Music,intervox.de,,https://www.linkedin.com/company/intervox-production-music/,,,,,,
11 One/Music,11onemusic.com,,https://www.linkedin.com/company/11-one-music,,,,,,
VideoHelper,videohelper.com,,,,,,,,
Musou Music Group,musou.gr,,https://www.linkedin.com/company/musou-music-group/,,,,,,
Muserk,muserk.com,,,,,,,,
Café Concerto Music Publishing Group,cafeconcerto.it,,,,,,,,
Rocking Gorillas Music,rockingorillas.com,,https://www.linkedin.com/company/rockingorillasmusic/,,,,,,
OMSA,omsasongs.com,,https://www.linkedin.com/company/omsa-srl/,,,,,,
Rotana Music Group,rotanamusic.com,,https://www.linkedin.com/company/rotana-music/,,,,,,
Demon Music Group,demonmusicgroup.co.uk,,,,,,,,
Naxos Music Group,naxosmusicgroup.com,,,,,,,,
Elements Music,elementsmusic.fi,,,,,,,,
DiPiú Music,dipiumusic.com,,,,,,,,
Talit MuZic Publishing,talitmuzicpublishing.com,,,,,,,,
QSJ Songs,qsjsongs.com,,,,,,,,
Clipper's Music Group,clippersmusic.org,,https://www.linkedin.com/company/clippers-music-group,,,,,,
Melodie der Welt,melodiederwelt.de,,,,,,,,
Misty Music,misty.se,,,,,,,,
A-Tempo Verlag,a-tempo.cz,,,,,,,,
Pfive Entertainment,pfivemexico.mx,,,,,,,,
Median Müzik Edisyon,median.com.tr,,,,,,,,
Mars Music,marsmusic.se,,,,,,,,
Schott Music,schott-music.com,,,,,,,,
Fermata do Brasil,fermatadobrasil.com.br,,,,,,,,
The Bank Music,thebankmusic.com,,,,,,,,
The Right People,therightpeople.be,,,,,,,,
HIM International Music,him.com.tw,,,,,,,,
Linfair Records,lfmusic.com,,,,,,,,
Rock Records,rock.com.tw,,,,,,,,
Outdustry,outdustry.com,,,,,,,,
Megatrax,megatrax.com,,https://www.linkedin.com/company/megatrax-production-music,,,,,,
Konsonant Music,konsonant.com,,,,,,,,
Audiomachine,audiomachine.com,,,,,,,,
Strike Audio,strikeaudio.com,,https://www.linkedin.com/company/strike-audio/,,,,,,
In The Groove Music,inthegroovemusic.com,,https://www.linkedin.com/company/inthegroovemusic,,,,,,
101 Music,101.audio,,https://www.linkedin.com/company/101-music-pty-ltd%C2%AE/,,,,,,
Croatia Records,crorec.net,,,,,,,,
Menart,menart.hr,,,,,,,,
Dancing Bear,dancingbear.hr,,,,,,,,
Doğan Music Company,dmc.com.tr,,,,,,,,
Napalm Records,napalmrecords.com,,,,,,,,
