companyname,segment,companywebsite,source_url,source_quote,qualification_note,verified_on,linkedincompanypageurl,linkedin_url_source,subtype,podcast_seed_episodes,priority,review_status
BEAT Music Fund,funds,beatmusicfund.com,https://www.beatmusicfund.com/,acquisition of music rights in the electronic dance music industry,Armada-linked platform; do not count as independent of Armada.,2026-09-13,,,genre_specialist,04;20,1,company_verified
beatBread,funds,beatbread.com,https://beatbread.com/,Flexible Masters and Publishing advances,Financing platform; no implication of outright copyright ownership.,2026-09-13,https://www.linkedin.com/company/beatbread/,https://www.beatbread.com/,royalty_finance,04;28,1,company_verified
Bella Figura Music,funds,bellafiguramusic.com,https://www.bellafiguramusic.com/,buying and managing music rights across publishing and recordings,Acquisition and ongoing catalog operations; comparable to Reservoir and Round Hill.,2026-09-13,https://www.linkedin.com/company/bellafiguramusic/,https://www.bellafiguramusic.com/,catalog_acquisition,07;20,1,company_verified
Beyond Music,funds,beyondmusic.io,https://beyondmusic.io/en/,Music IP Investment and Data Management Company,Korean catalog investor; not Beyond Music .org collaboration project or historical US label.,2026-09-13,,,catalog_acquisition,04;28,1,company_verified
CTM Outlander,funds,ctm.nl,https://ctm.nl/en/ctm-outlander-acquires-matt-simons-master-catalogue-including-global-1-hit-catch-release/,CTM Outlander announces the acquisition of the master recording catalogue,CTM publishing and investment operations consolidated on one domain. LinkedIn URL is sourced from consolidated CTM website; verify group-versus-Outlander employer match in Campaign Manager.,2026-09-13,https://www.linkedin.com/company/5130506/,https://ctm.nl,catalog_acquisition,07;20,1,company_verified
Duetti,funds,duetti.co,https://www.duetti.co/,We buy music rights from independent music creators,"Music rights acquisition platform; not labeled a regulated fund Episode 28 distinguishes the company from a fund; segment is commercial, not legal.",2026-09-13,https://www.linkedin.com/company/duetti/,https://www.duetti.co/,catalog_acquisition,28,1,company_verified
Firebird Music,funds,firebirdmusic.com,https://firebirdmusic.com/press/,"Catalog Fund Backed by Ares, Raine Group",Company press page links launch coverage; fund activity supported by company-published press index,2026-09-13,https://www.linkedin.com/company/wearefirebird/,https://firebirdmusic.com,catalog_acquisition,20;28,1,company_verified
GoldState Music,funds,goldstate.com,https://goldstate.com/,GoldState’s rights fund invests in music intellectual property assets,Music rights fund and growth investor,2026-09-13,,,catalog_acquisition,20;28,1,company_verified
HarbourView Equity Partners,funds,harbourviewequity.com,https://www.harbourviewequity.com/,HarbourView Acquires Stake in Kelly Clarkson Catalog,Music catalog investor; also invests outside music so use finance/investment role refinement,2026-09-13,https://www.linkedin.com/company/harbourview/,https://www.harbourviewequity.com/,catalog_acquisition,20;28,1,company_verified
Influence Media Partners,funds,influencemediapartners.com,https://www.wmg.com/news/influence-media-partners-forms-partnership-blackrock-funds-and-warner-music-group-create-best,music rights platform that will invest in and manage premier compositions,Music rights investment platform; current website confirms identity,2026-09-13,https://www.linkedin.com/company/influence-media-partners,https://www.linkedin.com/company/influence-media-partners,catalog_acquisition,20;28,1,company_verified
