"company_a","company_b","relationship","event_date","source_url","source_quote","verified_on","audience_implication"
"ICM Asset Management / ICM Crescendo","Raleigh Music Group","catalog_acquisition_joint_venture","2026-08-25","https://www.icmassetmanagement.com/icm-raleigh-jv/","joint venture to acquire music publishing catalogues","2026-09-13","Raleigh promoted to priority; ICM needs music-team qualification. Agreement does not create another proven employer."
"Reservoir Media","TU Publishing","publishing_joint_venture","2026-06-25","https://reservoir-media.com/reservoir-announces-joint-venture-with-latin-music-publisher-tu-publishing/","joint venture","2026-09-13","TU founder identified; standalone company domain unresolved, so no TU upload row. Do not infer ownership percentage."
"Sony Music Group","GIC","catalog_investment_partnership","2026-01-28","https://www.sonymusic.com/sonymusic/gic-and-smg-announce-investment-partnership/","investment partnership","2026-09-13","Target actual GIC team; partnership is not a separate employer."
"Sony Music Publishing","Recognition Music Group","complete_catalog_acquisition_agreement","2026-05-12","https://www.recordoftheday.com/on-the-move/news-press/sony-music-publishing-agrees-to-acquire-complete-catalog-of-recognition-music-group","subject to customary closing conditions","2026-09-13","Company-authored release syndicated by Record of the Day. Announcement not closing proof; Recognition held pending current remit/identity check. Release also says Blackstone intends continued music investment through Recognition."
"MNP Music Fund","The Lions Records master catalog","catalog_acquisition","2026-08-18","https://news.agencymargot.com/468146-mnp-music-fund-acquires-the-lions-records-master-catalog-expanding-its-portfolio-of-iconic-latin-music","has acquired the master catalog","2026-09-13","Catalog seller is not automatically an active acquisition buyer or separate upload employer."
"EICO Music Fund","EICO Publishing","parent_subsidiary","","https://eicofunds.com/wp-content/uploads/2026/05/EICO-music-fund.pdf","EICO Publishing Ltd","2026-09-13","Structure slide p.4 states fund owns EICO Publishing and EICO Publishing owns DiPiú. No separate holding-company employer row."
"EICO Publishing","DiPiú Music","parent_operating_publisher","","https://www.dipiumusic.com/en/about-us/","DiPiú is now part of the EICO Publishing ltd group","2026-09-13","Both sides corroborate operating relationship. EICO and DiPiú employer rows are not two independent investment groups."
"Warner Music Group","Tempo Music","controlling_stake_acquisition","2025-02-06","https://www.wmg.com/news/warner-music-group-acquires-controlling-stake-in-tempo-music","acquired a controlling stake","2026-09-13","Tempo operating-employer record retained; not counted as independent from WMG. Older Tempo homepage parent copy does not supersede buyer announcement."
"Believe","Doğan Music Company","completed_full_acquisition","2024-09-25","https://www.believe.com/press-release/believe-completes-acquisition-of-turkeys-leading-independent-label-dmc/","taking full ownership","2026-09-13","Record DMC's music-label employer; do not present as independently owned."
"Armada Music Publishing","Elements Music","subpublishing_partner","","https://www.armadamusicpublishing.com/sub-publishing","EMP (Elements Music Publishing)","2026-09-13","Directory discovery, current business verified on Elements site; representation is not ownership."
"Armada Music Publishing","Musou Music Group","subpublishing_partner","","https://www.armadamusicpublishing.com/sub-publishing","Musou Music","2026-09-13","Directory discovery, current publishing business verified on Musou site."
"Schubert Music Publishing","Dancing Bear","subpublishing_partner","","https://schubertmusic.com/contact/","Dancing Bear / Croatia","2026-09-13","Current partner directory corroborates older Dancing Bear publishing description."
"Schubert Music Publishing","The Right People","subpublishing_partner","","https://schubertmusic.com/contact/","The Right People / Belgium","2026-09-13","Partner directory corroborates exact website identity; joint venture Two Man Sync describes rights-administration business."
"MNP Music Fund","QSJ Songs","shared_executive_founder","","https://news.agencymargot.com/469046-qsj-songs-expands-its-writer-first-publishing-model-with-venezuelan-producer-lil-einyel","President of St. Indie Entertainment and MNP Music Fund, and the founder of QSJ Songs","2026-09-13","Pedro Guzmán connection supplies a discovery route; not evidence the fund owns QSJ or that they share budget."
