companyname,executive_name,title_as_published,remit_fit,source_url,source_quote,source_date,verified_on,verification_type,notes
MNP Music Fund,Pedro Guzmán,President / Principal,Latin catalog investment,https://news.agencymargot.com/468146-mnp-music-fund-acquires-the-lions-records-master-catalog-expanding-its-portfolio-of-iconic-latin-music,"Pedro Guzmán, principal at MNP Music Fund",2026-08-18,2026-09-13,dated_company_announcement,Release bio also identifies President; shared founder of QSJ Songs. Employer LinkedIn identity still unresolved.
ICM Asset Management,David Vankka,President & Portfolio Manager,Crescendo music royalties / catalog venture,https://www.icmassetmanagement.com/icm-raleigh-jv/,"David Vankka, President & Portfolio Manager",2026-08-25,2026-09-13,dated_company_announcement,Music-specific deal statement establishes remit; avoid blanket targeting of ICM's other investment teams.
GIC,Girish Karira,Head of Integrated Strategies Group,Sony music catalog investment partnership,https://www.sonymusic.com/sonymusic/gic-and-smg-announce-investment-partnership/,"Girish Karira, Head of Integrated Strategies Group",2026-01-28,2026-09-13,dated_company_announcement,"Role extends beyond music; deal involvement supports relevance, not exclusive music focus."
Reservoir Media,Donna Caseine,"Executive Vice President, Global Creative Director",Latin publishing and creative partnerships,https://reservoir-media.com/reservoir-announces-joint-venture-with-latin-music-publisher-tu-publishing/,"Executive Vice President, Global Creative Director Donna Caseine",2026-06-25,2026-09-13,dated_company_announcement,
Reservoir Media,Rell Lafargue,President and Chief Operating Officer,Publishing operations and company leadership,https://reservoir-media.com/reservoir-announces-joint-venture-with-latin-music-publisher-tu-publishing/,President and Chief Operating Officer Rell Lafargue,2026-06-25,2026-09-13,dated_company_announcement,
TU Publishing,Denny Marte,Founder; catalog broker and A&R executive,Latin catalog sourcing and writer development,https://reservoir-media.com/reservoir-announces-joint-venture-with-latin-music-publisher-tu-publishing/,Denny Marte,2026-06-25,2026-09-13,dated_company_announcement,"Company domain not resolved; research lead only, absent from upload CSVs."
EICO Music Fund,Eugenio Allora Abbondi,Founder & CEO,Music rights acquisitions,https://eicofunds.com/wp-content/uploads/2026/05/EICO-music-fund.pdf,Eugenio AlloraAbbondi Founder & CEO,,2026-09-13,official_company_page,Presentation p.23 (PDF index 22); spacing of surname corroborated by official about page. Source is company self-report.
DiPiú Music,Pierangelo Mauri,CEO,Catalog administration and rights investment advisory,https://eicofunds.com/wp-content/uploads/2026/05/EICO-music-fund.pdf,Dipiù srl CEO,,2026-09-13,official_company_page,Presentation p.24 names Mauri and role; DiPiú about page independently corroborates continued leadership.
Elements Music,Tommi Tuomainen,CEO,Publishing company leadership,https://elementsmusic.fi/about/,Tommi Tuomainen,,2026-09-13,official_company_page,
Talit MuZic Publishing,Elisa Fermont-Amouyal,CEO & Owner,Publishing and subpublishing leadership,https://www.talitmuzicpublishing.com/about,Elisa Fermont-Amouyal,,2026-09-13,official_company_page,
Café Concerto Music Publishing Group,Federico Monti Arduini,President,Publishing company leadership,https://www.cafeconcerto.it/,Federico Monti Arduini,,2026-09-13,official_company_page,
Café Concerto Music Publishing Group,Luigi Monti Arduini,CFO,Publishing finance and royalty operations,https://www.cafeconcerto.it/,Luigi Monti Arduini,,2026-09-13,official_company_page,
Café Concerto Music Publishing Group,Nicola Monti Arduini,Managing Director,Publishing operations,https://www.cafeconcerto.it/,Nicola Monti Arduini,,2026-09-13,official_company_page,
OMSA,Jorge Bertellotti,Director / Partner,Regional publishing and royalty administration,https://omsasongs.com/about/,JORGE BERTELLOTTI,,2026-09-13,official_company_page,
OMSA,Eduardo Ihidoype,Director / Partner,Regional publishing and royalty administration,https://omsasongs.com/about/,EDUARDO IHIDOYPE,,2026-09-13,official_company_page,
Intervox Production Music,Bettina Bonengel,Geschäftsführerin (Managing Director),Production-music company leadership,https://www.intervox.de/impressum,"Geschäftsführer: Bettina Bonengel, Martin Weinert",,2026-09-13,official_company_page,
Intervox Production Music,Martin Weinert,Geschäftsführer (Managing Director),Production-music company leadership,https://www.intervox.de/impressum,"Geschäftsführer: Bettina Bonengel, Martin Weinert",,2026-09-13,official_company_page,
A-Tempo Verlag,Petr Bělohlávek,Managing Director,Publishing leadership in Czech market,https://www.a-tempo.cz/,Petr Bělohlávek,,2026-09-13,official_company_page,
A-Tempo Verlag,Jitka Bělohlávková,General Manager; Managing Director of Slovak branch,Publishing operations and Slovak leadership,https://www.a-tempo.cz/,Jitka Bělohlávková,,2026-09-13,official_company_page,The source distinguishes the Czech General Manager role from Slovak Managing Director role.
Misty Music,Anders Mörén,"CEO, Owner",Nordic publishing leadership,https://misty.se/en/,"CEO, Owner",,2026-09-13,official_company_page,
Melodie der Welt,Pamela Georgi,Managing Director,Publishing company leadership,https://melodiederwelt.de/en/publisher/editions,Pamela Georgi,,2026-09-13,official_company_page,
Konsonant Music,Gil Talmi,Founder / Creative Director,Original music and catalog company leadership,https://www.konsonant.com/the-team-about-us,Gil Talmi,,2026-09-13,official_company_page,
Konsonant Music,Andrew Gross,Founder / Creative Director,Original music and catalog company leadership,https://www.konsonant.com/the-team-about-us,Andrew Gross,,2026-09-13,official_company_page,"PMA Secretary is a separate association role, not used as company job title."
In The Groove Music,Darren Drew,Founding Partner,Publishing and production-music leadership,https://www.inthegroovemusic.com/about/,Darren Drew,,2026-09-13,official_company_page,
In The Groove Music,Brian Reidinger,Founding Partner,Publishing and production-music leadership,https://www.inthegroovemusic.com/about/,Brian Reidinger,,2026-09-13,official_company_page,
True Road Music,John Clifford,Founder & Managing Director,Production music acquisition and licensing advisory,https://www.trueroadmusic.tv/,Founder & Managing Director,,2026-09-13,official_company_page,Adjacent adviser audience; former BMG role not treated as current employment.
