episode,guest_credit_from_rss,companies_at_episode,audience_disposition,reason,episode_url,transcript_file
01,"Sachin Saggar — Co-Founder, RedBrick Advisors",RedBrick Advisors,operators,Valuation adviser; distinguish from Red Brick Songs publisher.,https://podcasters.spotify.com/pod/show/music-moneyball/episodes/How-the-smartest-buyers-are-valuing-music-catalogs-in-2025-w-Sachin-Saggar-e3aqt5c,../podcast/raw/transcripts/01-2025-10-29-how-the-smartest-buyers-are-valuing-music-catalogs-in-2025-w-sachin-saggar.txt
02,"Henry Marsden — Founder, Fix Music",Fix Music,operators,"Data cleanup and royalty recovery, not a catalog fund.",https://podcasters.spotify.com/pod/show/music-moneyball/episodes/The-untapped-upside-in-music-catalog-operations-w-Henry-Marsden-e3aqt3j,../podcast/raw/transcripts/02-2025-11-11-the-untapped-upside-in-music-catalog-operations-w-henry-marsden.txt
03,Michael Poster — Partner and Chair of Music Acquisitions & Financing at Michelman & Robinson,Michelman & Robinson,operators,Music acquisitions/financing practice only.,https://podcasters.spotify.com/pod/show/music-moneyball/episodes/Why-music-rights-deals-are-getting-smarter-w-Michael-Poster-e3bejci,../podcast/raw/transcripts/03-2025-11-25-why-music-rights-deals-are-getting-smarter-w-michael-poster.txt
04,"Tom Tyler — CEO & Co-founder, Rezonate Music Rights",Rezonate Music Rights; Bridgepoint,core + institutional,Producer royalty platform; financing partner needs music-credit remit.,https://podcasters.spotify.com/pod/show/music-moneyball/episodes/Building-an-operational-edge-in-overlooked-rights-w-Tom-Tyler-e3bp4i6,../podcast/raw/transcripts/04-2025-12-02-building-an-operational-edge-in-overlooked-rights-w-tom-tyler.txt
05,"Benji Rogers — Co-President, Sureel AI; Partner, Lark42",Sureel AI; Lark42,context,AI attribution/licensing and consultancy; ownership/buyer fit not established for core upload.,https://podcasters.spotify.com/pod/show/music-moneyball/episodes/Why-AI-is-about-to-break-the-music-valuation-model-w-Benji-Rogers-e3c585l,../podcast/raw/transcripts/05-2025-12-10-why-ai-is-about-to-break-the-music-valuation-model-w-benji-rogers.txt
06,"Adam Lowenberg — Chief Marketing Officer, Primary Wave",Primary Wave,core,Artist legacy and active catalog development.,https://podcasters.spotify.com/pod/show/music-moneyball/episodes/Reactivating-icons-the-Bing-Crosby-holiday-playbook-w-Primary-Waves-Adam-Lowenberg-e3ce0cd,../podcast/raw/transcripts/06-2025-12-16-reactivating-icons-the-bing-crosby-holiday-playbook-w-primary-waves-adam-lowenbe.txt
07,Golnar Khosrowshahi — Reservoir,Reservoir Media,core,Publisher/master-rights owner and operator; do not turn referenced affiliates into extra buyers.,https://podcasters.spotify.com/pod/show/music-moneyball/episodes/Why-discipline-beats-hype-in-music-rights-investing-w-Golnar-Khosrowshahi-e3d7hda,../podcast/raw/transcripts/07-2026-01-06-why-discipline-beats-hype-in-music-rights-investing-w-golnar-khosrowshahi.txt
08,See RSS description,Standard Innovation,context,"Host discussion; source of catalog-maturity lens, not an extra target.",https://podcasters.spotify.com/pod/show/music-moneyball/episodes/Music-Fastball-Introducing-the-Catalog-Maturity-Curve-e3e01ub,../podcast/raw/transcripts/08-2026-01-21-music-fastball-introducing-the-catalog-maturity-curve.txt
09,"Brian Richards — Founder and Managing Partner, Artisan",Artisan,operators,Brian Richards advisory firm at artisan1.com.,https://podcasters.spotify.com/pod/show/music-moneyball/episodes/What-institutional-capital-looks-for-in-music-rights-w-Brian-Richards-e3e8e1s,../podcast/raw/transcripts/09-2026-01-27-what-institutional-capital-looks-for-in-music-rights-w-brian-richards.txt
10,"Alaister Moughan — Founder, Moghan Music",Moghan Music,operators,Catalog valuation adviser; preserve RSS spelling.,https://podcasters.spotify.com/pod/show/music-moneyball/episodes/Music-Fastball-Where-music-catalog-valuation-breaks-down-w-Alaister-Moughan-e3ei51g,../podcast/raw/transcripts/10-2026-02-03-music-fastball-where-music-catalog-valuation-breaks-down-w-alaister-moughan.txt
11,"Evan Bogart, Founder and CEO of Seeker Music, and Ciaran Mulligan, CIO at M&G Life",Seeker Music; M&G,core + institutional,Music operating company and capital partner; apply customer suppression before acquisition advertising.,https://podcasters.spotify.com/pod/show/music-moneyball/episodes/Inside-the-MG-x-Seeker-partnership-where-capital-meets-creativity-w-Ciaran-Mulligan--Evan-Bogart-e3et282,../podcast/raw/transcripts/11-2026-02-10-inside-the-m-g-x-seeker-partnership-where-capital-meets-creativity-w-ciaran-mull.txt
12,See RSS description,Standard Innovation,context,Host discussion; data-investment lens.,https://podcasters.spotify.com/pod/show/music-moneyball/episodes/Music-Fastball-A-3-step-approach-for-prioritizing-data-investment-e3f65h8,../podcast/raw/transcripts/12-2026-02-17-music-fastball-a-3-step-approach-for-prioritizing-data-investment.txt
13,"Cynthia Katz, Partner, Fox Rothschild",Fox Rothschild,operators,Music transactions practice only.,https://podcasters.spotify.com/pod/show/music-moneyball/episodes/Where-the-catalog-market-is-moving-next-w-Cynthia-Katz-e3fhl0i,../podcast/raw/transcripts/13-2026-02-24-where-the-catalog-market-is-moving-next-w-cynthia-katz.txt
14,"Tara Finegan, COO & Philip Moross, CEO, Cutting Edge Group",Cutting Edge Group,core,Film/TV/media music ownership and operations.,https://podcasters.spotify.com/pod/show/music-moneyball/episodes/How-Cutting-Edge-built-a-1bn-portfolio-in-overlooked-film--TV-music-w-Tara-Finegan--Philip-Moross-e3g7kri,../podcast/raw/transcripts/14-2026-03-10-how-cutting-edge-built-a-1bn-portfolio-in-overlooked-film-tv-music-w-tara-finega.txt
15,"Cliff Fluet, Partner, Lewis Silkin",Lewis Silkin,operators,Music/media practice; rights acquisition and diligence.,https://podcasters.spotify.com/pod/show/music-moneyball/episodes/Music-Fastball-What-are-you-actually-buying-in-a-catalog-deal--w-Cliff-Fluet-e3gc69a,../podcast/raw/transcripts/15-2026-03-17-music-fastball-what-are-you-actually-buying-in-a-catalog-deal-w-cliff-fluet.txt
16,"Cliff Fluet, Partner, Lewis Silkin",Lewis Silkin,operators,Same employer as episode 15; not a second company.,https://podcasters.spotify.com/pod/show/music-moneyball/episodes/Music-Fastball-Building-a-repeatable-catalog-deal-process-w-Cliff-Fluet-e3gc7n0,../podcast/raw/transcripts/16-2026-03-24-music-fastball-building-a-repeatable-catalog-deal-process-w-cliff-fluet.txt
17,"Matt Herzfeld, Seasons Music Group",Seasons Music Group,operators,Catalog sales and deal advisory; not itself a fund.,https://podcasters.spotify.com/pod/show/music-moneyball/episodes/What-actually-makes-a-music-catalog-valuable--w-Matt-Herzfeld-e3hi74k,../podcast/raw/transcripts/17-2026-04-07-what-actually-makes-a-music-catalog-valuable-w-matt-herzfeld.txt
18,"Firdaus Dawood — Private credit, institutional capital (ex-BlackRock)George Williams — Private equity and M&A",Current employers not established,hold,Do not turn past BlackRock/private-credit experience into current-company targeting.,https://podcasters.spotify.com/pod/show/music-moneyball/episodes/Music-Fastball-Unlocking-cheaper-capital--higher-multiples-w-Firdaus-Dawood--George-Williams-e3hrslu,../podcast/raw/transcripts/18-2026-04-14-music-fastball-unlocking-cheaper-capital-higher-multiples-w-firdaus-dawood-georg.txt
